Element,count,file
Ni,899,results/nsoc_top_class_results/Ni_topology_materials_899.csv
Si,883,results/nsoc_top_class_results/Si_topology_materials_883.csv
Ge,770,results/nsoc_top_class_results/Ge_topology_materials_770.csv
Cu,706,results/nsoc_top_class_results/Cu_topology_materials_706.csv
O,720,results/nsoc_top_class_results/O_topology_materials_720.csv
Sn,588,results/nsoc_top_class_results/Sn_topology_materials_588.csv
B,566,results/nsoc_top_class_results/B_topology_materials_566.csv
Al,556,results/nsoc_top_class_results/Al_topology_materials_556.csv
Pd,528,results/nsoc_top_class_results/Pd_topology_materials_528.csv
In,510,results/nsoc_top_class_results/In_topology_materials_510.csv
C,507,results/nsoc_top_class_results/C_topology_materials_507.csv
Pt,443,results/nsoc_top_class_results/Pt_topology_materials_443.csv
Ga,428,results/nsoc_top_class_results/Ga_topology_materials_428.csv
Co,443,results/nsoc_top_class_results/Co_topology_materials_443.csv
Rh,398,results/nsoc_top_class_results/Rh_topology_materials_398.csv
Ba,406,results/nsoc_top_class_results/Ba_topology_materials_406.csv
Sb,387,results/nsoc_top_class_results/Sb_topology_materials_387.csv
La,380,results/nsoc_top_class_results/La_topology_materials_380.csv
Ca,373,results/nsoc_top_class_results/Ca_topology_materials_373.csv
Au,362,results/nsoc_top_class_results/Au_topology_materials_362.csv
S,381,results/nsoc_top_class_results/S_topology_materials_381.csv
P,361,results/nsoc_top_class_results/P_topology_materials_361.csv
Ti,349,results/nsoc_top_class_results/Ti_topology_materials_349.csv
Zr,341,results/nsoc_top_class_results/Zr_topology_materials_341.csv
Ir,343,results/nsoc_top_class_results/Ir_topology_materials_343.csv
Sr,340,results/nsoc_top_class_results/Sr_topology_materials_340.csv
Nd,328,results/nsoc_top_class_results/Nd_topology_materials_328.csv
Mg,317,results/nsoc_top_class_results/Mg_topology_materials_317.csv
N,320,results/nsoc_top_class_results/N_topology_materials_320.csv
As,308,results/nsoc_top_class_results/As_topology_materials_308.csv
Yb,317,results/nsoc_top_class_results/Yb_topology_materials_317.csv
Pr,313,results/nsoc_top_class_results/Pr_topology_materials_313.csv
Zn,310,results/nsoc_top_class_results/Zn_topology_materials_310.csv
Y,303,results/nsoc_top_class_results/Y_topology_materials_303.csv
Te,288,results/nsoc_top_class_results/Te_topology_materials_288.csv
Fe,287,results/nsoc_top_class_results/Fe_topology_materials_287.csv
Sm,281,results/nsoc_top_class_results/Sm_topology_materials_281.csv
Er,269,results/nsoc_top_class_results/Er_topology_materials_269.csv
Tb,266,results/nsoc_top_class_results/Tb_topology_materials_266.csv
Bi,244,results/nsoc_top_class_results/Bi_topology_materials_244.csv
Se,264,results/nsoc_top_class_results/Se_topology_materials_264.csv
Dy,252,results/nsoc_top_class_results/Dy_topology_materials_252.csv
Nb,250,results/nsoc_top_class_results/Nb_topology_materials_250.csv
Ho,246,results/nsoc_top_class_results/Ho_topology_materials_246.csv
Ag,247,results/nsoc_top_class_results/Ag_topology_materials_247.csv
Hf,242,results/nsoc_top_class_results/Hf_topology_materials_242.csv
Ru,243,results/nsoc_top_class_results/Ru_topology_materials_243.csv
Li,233,results/nsoc_top_class_results/Li_topology_materials_233.csv
Sc,222,results/nsoc_top_class_results/Sc_topology_materials_222.csv
Pb,220,results/nsoc_top_class_results/Pb_topology_materials_220.csv
Mo,210,results/nsoc_top_class_results/Mo_topology_materials_210.csv
Th,205,results/nsoc_top_class_results/Th_topology_materials_205.csv
Cd,201,results/nsoc_top_class_results/Cd_topology_materials_201.csv
Ta,192,results/nsoc_top_class_results/Ta_topology_materials_192.csv
Ce,190,results/nsoc_top_class_results/Ce_topology_materials_190.csv
Tm,168,results/nsoc_top_class_results/Tm_topology_materials_168.csv
V,173,results/nsoc_top_class_results/V_topology_materials_173.csv
Lu,168,results/nsoc_top_class_results/Lu_topology_materials_168.csv
Tl,172,results/nsoc_top_class_results/Tl_topology_materials_172.csv
Mn,159,results/nsoc_top_class_results/Mn_topology_materials_159.csv
Cr,156,results/nsoc_top_class_results/Cr_topology_materials_156.csv
H,152,results/nsoc_top_class_results/H_topology_materials_152.csv
Hg,130,results/nsoc_top_class_results/Hg_topology_materials_130.csv
Na,135,results/nsoc_top_class_results/Na_topology_materials_135.csv
K,124,results/nsoc_top_class_results/K_topology_materials_124.csv
U,119,results/nsoc_top_class_results/U_topology_materials_119.csv
Re,105,results/nsoc_top_class_results/Re_topology_materials_105.csv
Os,110,results/nsoc_top_class_results/Os_topology_materials_110.csv
Cl,108,results/nsoc_top_class_results/Cl_topology_materials_108.csv
W,90,results/nsoc_top_class_results/W_topology_materials_90.csv
I,76,results/nsoc_top_class_results/I_topology_materials_76.csv
Be,71,results/nsoc_top_class_results/Be_topology_materials_71.csv
Rb,68,results/nsoc_top_class_results/Rb_topology_materials_68.csv
Br,67,results/nsoc_top_class_results/Br_topology_materials_67.csv
Cs,60,results/nsoc_top_class_results/Cs_topology_materials_60.csv
F,62,results/nsoc_top_class_results/F_topology_materials_62.csv
Pu,37,results/nsoc_top_class_results/Pu_topology_materials_37.csv
Tc,31,results/nsoc_top_class_results/Tc_topology_materials_31.csv
Np,18,results/nsoc_top_class_results/Np_topology_materials_18.csv
Pa,10,results/nsoc_top_class_results/Pa_topology_materials_10.csv
Eu,10,results/nsoc_top_class_results/Eu_topology_materials_10.csv
Gd,3,results/nsoc_top_class_results/Gd_topology_materials_3.csv
Pm,1,results/nsoc_top_class_results/Pm_topology_materials_1.csv
