Element,count,file
Ni,823,results/soc_top_class_results/Ni_topology_materials_823.csv
Si,751,results/soc_top_class_results/Si_topology_materials_751.csv
Ge,698,results/soc_top_class_results/Ge_topology_materials_698.csv
Cu,594,results/soc_top_class_results/Cu_topology_materials_594.csv
O,535,results/soc_top_class_results/O_topology_materials_535.csv
Sn,541,results/soc_top_class_results/Sn_topology_materials_541.csv
B,519,results/soc_top_class_results/B_topology_materials_519.csv
Al,504,results/soc_top_class_results/Al_topology_materials_504.csv
Pd,498,results/soc_top_class_results/Pd_topology_materials_498.csv
In,479,results/soc_top_class_results/In_topology_materials_479.csv
C,453,results/soc_top_class_results/C_topology_materials_453.csv
Pt,422,results/soc_top_class_results/Pt_topology_materials_422.csv
Ga,394,results/soc_top_class_results/Ga_topology_materials_394.csv
Co,373,results/soc_top_class_results/Co_topology_materials_373.csv
Rh,375,results/soc_top_class_results/Rh_topology_materials_375.csv
Ba,364,results/soc_top_class_results/Ba_topology_materials_364.csv
Sb,374,results/soc_top_class_results/Sb_topology_materials_374.csv
La,343,results/soc_top_class_results/La_topology_materials_343.csv
Ca,335,results/soc_top_class_results/Ca_topology_materials_335.csv
Au,345,results/soc_top_class_results/Au_topology_materials_345.csv
S,315,results/soc_top_class_results/S_topology_materials_315.csv
P,308,results/soc_top_class_results/P_topology_materials_308.csv
Ti,310,results/soc_top_class_results/Ti_topology_materials_310.csv
Zr,315,results/soc_top_class_results/Zr_topology_materials_315.csv
Ir,300,results/soc_top_class_results/Ir_topology_materials_300.csv
Sr,297,results/soc_top_class_results/Sr_topology_materials_297.csv
Nd,299,results/soc_top_class_results/Nd_topology_materials_299.csv
Mg,298,results/soc_top_class_results/Mg_topology_materials_298.csv
N,290,results/soc_top_class_results/N_topology_materials_290.csv
As,295,results/soc_top_class_results/As_topology_materials_295.csv
Yb,285,results/soc_top_class_results/Yb_topology_materials_285.csv
Pr,285,results/soc_top_class_results/Pr_topology_materials_285.csv
Zn,275,results/soc_top_class_results/Zn_topology_materials_275.csv
Y,273,results/soc_top_class_results/Y_topology_materials_273.csv
Te,267,results/soc_top_class_results/Te_topology_materials_267.csv
Fe,255,results/soc_top_class_results/Fe_topology_materials_255.csv
Sm,258,results/soc_top_class_results/Sm_topology_materials_258.csv
Er,257,results/soc_top_class_results/Er_topology_materials_257.csv
Tb,254,results/soc_top_class_results/Tb_topology_materials_254.csv
Bi,259,results/soc_top_class_results/Bi_topology_materials_259.csv
Se,229,results/soc_top_class_results/Se_topology_materials_229.csv
Dy,239,results/soc_top_class_results/Dy_topology_materials_239.csv
Nb,229,results/soc_top_class_results/Nb_topology_materials_229.csv
Ho,233,results/soc_top_class_results/Ho_topology_materials_233.csv
Ag,228,results/soc_top_class_results/Ag_topology_materials_228.csv
Hf,221,results/soc_top_class_results/Hf_topology_materials_221.csv
Ru,202,results/soc_top_class_results/Ru_topology_materials_202.csv
Li,199,results/soc_top_class_results/Li_topology_materials_199.csv
Sc,209,results/soc_top_class_results/Sc_topology_materials_209.csv
Pb,207,results/soc_top_class_results/Pb_topology_materials_207.csv
Mo,193,results/soc_top_class_results/Mo_topology_materials_193.csv
Th,188,results/soc_top_class_results/Th_topology_materials_188.csv
Cd,184,results/soc_top_class_results/Cd_topology_materials_184.csv
Ta,172,results/soc_top_class_results/Ta_topology_materials_172.csv
Ce,164,results/soc_top_class_results/Ce_topology_materials_164.csv
Tm,161,results/soc_top_class_results/Tm_topology_materials_161.csv
V,153,results/soc_top_class_results/V_topology_materials_153.csv
Lu,158,results/soc_top_class_results/Lu_topology_materials_158.csv
Tl,149,results/soc_top_class_results/Tl_topology_materials_149.csv
Mn,142,results/soc_top_class_results/Mn_topology_materials_142.csv
Cr,138,results/soc_top_class_results/Cr_topology_materials_138.csv
H,120,results/soc_top_class_results/H_topology_materials_120.csv
Hg,116,results/soc_top_class_results/Hg_topology_materials_116.csv
Na,108,results/soc_top_class_results/Na_topology_materials_108.csv
K,105,results/soc_top_class_results/K_topology_materials_105.csv
U,107,results/soc_top_class_results/U_topology_materials_107.csv
Re,108,results/soc_top_class_results/Re_topology_materials_108.csv
Os,98,results/soc_top_class_results/Os_topology_materials_98.csv
Cl,80,results/soc_top_class_results/Cl_topology_materials_80.csv
W,81,results/soc_top_class_results/W_topology_materials_81.csv
I,66,results/soc_top_class_results/I_topology_materials_66.csv
Be,68,results/soc_top_class_results/Be_topology_materials_68.csv
Rb,60,results/soc_top_class_results/Rb_topology_materials_60.csv
Br,54,results/soc_top_class_results/Br_topology_materials_54.csv
Cs,60,results/soc_top_class_results/Cs_topology_materials_60.csv
F,44,results/soc_top_class_results/F_topology_materials_44.csv
Pu,30,results/soc_top_class_results/Pu_topology_materials_30.csv
Tc,31,results/soc_top_class_results/Tc_topology_materials_31.csv
Np,17,results/soc_top_class_results/Np_topology_materials_17.csv
Pa,9,results/soc_top_class_results/Pa_topology_materials_9.csv
Eu,3,results/soc_top_class_results/Eu_topology_materials_3.csv
Gd,3,results/soc_top_class_results/Gd_topology_materials_3.csv
Pm,1,results/soc_top_class_results/Pm_topology_materials_1.csv
